Attribute XML Name|MultiValue Attribute?|Group Name|Max Number of Records in Group|Data Type|Total Digits|Max Length / Total Number of digits|Min Length / # of decimals|***DO NOT USE*Lang specific?*****|Valid Value List Name|Qual O/M *FUTURE USE*|Qual Name|Qual Data Type|Qual Total Digits|Qual Max Length / Total Number of digits|Qual Min Length / # of decimals|Qual VV list|Copyable?|GUI Lang|GUI Attribute Name|GUI Help Text|GUI Container Type|GUI Field Type|Label Align|Label Width|Value Align|Value Width|GUI Group Row|GUI Group Column|Active Status|XML Group M/O *FUTURE USE*|Comments|IM/Customer Key Master Name|Untitled event|Xref Type|Customer's Attribute Ref ID
avp/canPrintDirectToCD|N|||boolean|||||||||||||N|en|Can Print Direct To CD?|canPrintDirectToCD<br>Qualifier: AVP183<br>Indicates whether or not the product can print directly onto a CD rather than a label sheet.|Horizontal|Boolean|Left|200|Left||||Active||AVP|canPrintDirectToCD|||
avp/canPrintOnTradeItem|N|||boolean|||||||||||||N|en|Can Print On Trade Item?|canPrintOnTradeItem<br>Qualifier: AVP184<br>Indicates whether or not you are able to print on the product.|Horizontal|Boolean|Left|200|Left||||Active||AVP|canPrintOnTradeItem|||
avp/canRecord2ProgramsSimultaneously|N|||boolean|||||||||||||N|en|Can Record 2 Programs Simultaneously?|canRecord2ProgramsSimultaneously<br>Qualifier: AVP185<br>Indicates whether or not the product can record two different shows at one time.|Horizontal|Boolean|Left|200|Left||||Active||AVP|canRecord2ProgramsSimultaneously|||
avp/canStoreWaypoints|N|||boolean|||||||||||||N|en|Can Store Waypoints?|canStoreWaypoints<br>Qualifier: AVP186<br>Indicates whether or not the product has the ability to store waypoints. A waypoint is any mapped reference point you can insert into memory to mark a path or spot on the GPS.|Horizontal|Boolean|Left|200|Left||||Active||AVP|canStoreWaypoints|||
avp/canSwivel|N|||boolean|||||||||||||N|en|Can Swivel?|additionalFeaturesOrIncludedAccessories<br>Qualifier: AVP187<br>Indicates whether or not the product has a swivel capability.|Horizontal|Boolean|Left|200|Left||||Active||AVP|canSwivel|||
avp/canSynchronizeWithCalendars|N|||boolean|||||||||||||N|en|Can Synchronize With Calendars?|canSynchronizeWithCalendars<br>Qualifier: AVP768<br>Indicates whether or not the product can synchronize with other electronic calendars.|Horizontal|Boolean|Left|200|Left||||Active||AVP|canSynchronizeWithCalendars|||
avp/canSynchronizeWithEmail|N|||boolean|||||||||||||N|en|Can Synchronize With Email?|canSynchronizeWithEmail<br>Qualifier: AVP769<br>Indicates whether or not the product can synchronize with an email account.|Horizontal|Boolean|Left|200|Left||||Active||AVP|canSynchronizeWithEmail|||
avp/canWakeToCD|N|||boolean|||||||||||||N|en|Can Wake To CD?|canWakeToCD<br>Qualifier: AVP188<br>Indicates whether or not the product has the capability to set an alarm to wake to cd.|Horizontal|Boolean|Left|200|Left||||Active||AVP|canWakeToCD|||
avp/capacityOfExpandibleHandsets|N|||text||4|1|N|||||||||N|en|Capacity Of Expandible Handsets|capacityOfExpandibleHandsets<br>Qualifier: AVP189<br>Indicates the maximum capacity of the expandable unit.|Horizontal|Text|Left|200|Left||||Active||AVP|capacityOfExpandibleHandsets|||
avp/capacityQuantity|N|||float|7|14|7||||||||||N|en|Capacity Quantity|capacityQuantity<br>Qualifier: AVP190<br>Generally defines how much the product can hold. The values are in reference to the appliance capacity in Cubic feet.|Horizontal|Float|Left|200|Left||||Active||AVP|capacityQuantity|||
avp/capacityQuantityUOM|N|||text||70|1|N|||||||||N|en|Capacity Quantity UOM|capacityQuantityUOM<br>Qualifier: AVP191<br>The unit of measurement associated with Capacity Quantity.|Horizontal|Text|Left|200|Left||||Active||AVP|capacityQuantityUOM|||
avp/capacityType|N|||text||70|1|N|||||||||N|en|Capacity Type|capacityType<br>Qualifier: AVP192<br>Generally deifines how much the product can hold. For washers extra large and super capacity. Also, on this is recordable media that has double layered disks and regular.|Horizontal|Text|Left|200|Left||||Active||AVP|capacityType|||
avp/cassetteCapacity|N|||integer||4|1||||||||||N|en|Cassette Capacity|cassetteCapacity<br>Qualifier: AVP193<br>Indicates the amount of cassettes the product can hold.|Horizontal|Integer|Left|200|Left||||Active||AVP|cassetteCapacity|||
avp/cdCapacity|N|||integer||4|1||||||||||N|en|CD Capacity|cdCapacity<br>Qualifier: AVP194<br>Indicates the maximum number of cd's the player can hold.|Horizontal|Integer|Left|200|Left||||Active||AVP|cdCapacity|||
avp/ceAndAccessoryPrimaryColor|N|||text||70|1|N|||||||||N|en|CE And Accessory Primary Color|ceAndAccessoryPrimaryColor<br>Qualifier: AVP195<br>Indicates the dominant color of the product.|Horizontal|Text|Left|200|Left||||Active||AVP|ceAndAccessoryPrimaryColor|||
avp/ceAndAccessorySecondaryColor|N|||text||70|1|N|||||||||N|en|CE And Accessory Secondary Color|ceAndAccessorySecondaryColor<br>Qualifier: AVP196<br>Indicates the second most dominant color of the product.|Horizontal|Text|Left|200|Left||||Active||AVP|ceAndAccessorySecondaryColor|||
avp/cellularServiceProviderName|N|||text||70|1|N|||||||||N|en|Cellular Service Provider Name|cellularServiceProviderName<br>Qualifier: AVP197<br>Identifies the name of the service provider for the product.|Horizontal|Text|Left|200|Left||||Active||AVP|cellularServiceProviderName|||
avp/cleanAirDeliveryRateDust|N|||integer||4|1||||||||||N|en|Clean Air Delivery Rate - Dust|cleanAirDeliveryRateDust<br>Qualifier: AVP738<br>Describes the clean air delivery rate for dust. CADR indicates volume of filtered air delivered by an air cleaner. The higher the tobacco smoke, pollen and dust numbers, the faster the unit filters the air.|Horizontal|Integer|Left|200|Left||||Active||AVP|cleanAirDeliveryRateDust|||
avp/cleanAirDeliveryRatePollen|N|||integer||4|1||||||||||N|en|Clean Air Delivery Rate - Pollen|cleanAirDeliveryRatePollen<br>Qualifier: AVP739<br>Describes the clean air delivery rate for pollen. CADR indicates volume of filtered air delivered by an air cleaner. The higher the tobacco smoke, pollen and dust numbers, the faster the unit filters the air.|Horizontal|Integer|Left|200|Left||||Active||AVP|cleanAirDeliveryRatePollen|||
avp/cleanAirDeliveryRateSmoke|N|||integer||4|1||||||||||N|en|Clean Air Delivery Rate -Smoke|cleanAirDeliveryRateSmoke<br>Qualifier: AVP740<br>Describes the clean air delivery rate for smoke. CADR indicates volume of filtered air delivered by an air cleaner. The higher the tobacco smoke, pollen and dust numbers, the faster the unit filters the air.|Horizontal|Integer|Left|200|Left||||Active||AVP|cleanAirDeliveryRateSmoke|||
avp/cleaningMethod|N|||text||70|1|N|||||||||N|en|Cleaning Method|cleaningMethod<br>Qualifier: AVP198<br>Indicates the method in which to clean the product.|Horizontal|Text|Left|200|Left||||Active||AVP|cleaningMethod|||
avp/cleaningPathWidth|N|||integer||4|1||||||||||N|en|Cleaning Path Width|cleaningPathWidth<br>Qualifier: AVP199<br>Identifes the width of the vacuum cleaning area.|Horizontal|Integer|Left|200|Left||||Active||AVP|cleaningPathWidth|||
avp/cleaningPathWidthUOM|N|||text||70|1|N|||||||||N|en|Cleaning Path Width UOM|cleaningPathWidthUOM<br>Qualifier: AVP200<br>The unit of measurement associated with Cleaning Path Width.|Horizontal|Text|Left|200|Left||||Active||AVP|cleaningPathWidthUOM|||
avp/casePackQty|N|||float|38|53|15||||||||||N|en|Case Pack Quantity|Represents the totsal number of lowest level hierarchy gtins in a Case level GTIn. e.g. a case with 3 inner packs, each of which contains 12 pieces has a case pack qty of 12x3 = 36.|Horizontal|Float|Left|200|Left||||Active||PI1551_QA03||||
avp/coffeeFilterType|N|||text||70|1|N|||||||||N|en|Coffee Filter Type|coffeeFilterType<br>Qualifier: AVP201<br>Indicates the type of filter that can be used in the coffee maker.|Horizontal|Text|Left|200|Left||||Active||AVP|coffeeFilterType|||
avp/colorPrintSpeed|N|||integer||4|1||||||||||N|en|Color Print Speed|colorPrintSpeed<br>Qualifier: AVP202<br>Indicates the color print speed of the product. Measured in Pages per Minute (PPM).|Horizontal|Integer|Left|200|Left||||Active||AVP|colorPrintSpeed|||
avp/casePackQtyUOM|N|||text||5|2|N|CountUOM||||||||N|en|Case Pack Quantity UOM|UOM for case pack|Horizontal|Dropdown|Left|200|Left||||Active||PI1551_QA03||||
avp/combinationTelevisionFunctions|Y||3|text||70|1|N|||||||||N|en|Combination Television Functions|combinationTelevisionFunctions<br>Qualifier: AVP204<br>Describes the other functions the TV has.|Horizontal|Text|Left|200|Left||||Active||AVP|combinationTelevisionFunctions|||
avp/comparableBrandedProducts|Y||100|text||150|1|N|||||||||N|en|Comparable Branded Products|comparableBrandedProducts<br>Qualifier: AVP058<br>Description of similar national branded items used for private label items.|Horizontal|Text|Left|200|Left||||Active||AVP|comparableBrandedProducts|||
avp/computerAccessoryType|N|||text||70|1|N|||||||||N|en|Computer Accessory Type|computerAccessoryType<br>Qualifier: AVP205<br>Indicates the product's type of Computer Accessory.|Horizontal|Text|Left|200|Left||||Active||AVP|computerAccessoryType|||
avp/connectorType|N|||text||70|1|N|||||||||N|en|Connector Type|connectorType<br>Qualifier: AVP206<br>Indicates the type of connector.|Horizontal|Text|Left|200|Left||||Active||AVP|connectorType|||
avp/contactPartyType|Y||100|text||150|1|N|||||||||N|en|Contact Party Type|contactPartyType<br>Qualifier: AVP054<br>The role of the individual or department that can be contacted to provide additional information.|Horizontal|Text|Left|200|Left||||Active||AVP; Removed in IM 6.6 and added back PI 1.2.1 PRODINTRO-539|contactPartyType|||
